name,source,label,prob,pred
OIA-ODIR-TRAIN-738,OIA-ODIR-TRAIN,0,0.9983568,1
EyePACS-Glaucoma-292,EyePACS-Glaucoma,1,0.5693431,0
OIA-ODIR-TRAIN-613,OIA-ODIR-TRAIN,1,0.024229987,0
FIVES-47,FIVES,1,0.52666175,0
G1020-553,G1020,1,0.38099945,0
OIA-ODIR-TRAIN-699,OIA-ODIR-TRAIN,1,0.05492786,0
G1020-39,G1020,1,0.40570873,0
FIVES-348,FIVES,0,0.90700966,1
OIA-ODIR-TRAIN-554,OIA-ODIR-TRAIN,1,0.23300311,0
OIA-ODIR-TRAIN-675,OIA-ODIR-TRAIN,1,0.042788513,0
ORIGA-627,ORIGA,1,0.36267155,0
OIA-ODIR-TEST-ONLINE-887,OIA-ODIR-TEST-ONLINE,0,0.8542174,1
OIA-ODIR-TRAIN-2137,OIA-ODIR-TRAIN,0,0.9660654,1
G1020-283,G1020,1,0.47208288,0
PAPILA-319,PAPILA,1,0.11104872,0
ORIGA-588,ORIGA,1,0.44381094,0
BEH-538,BEH,0,0.67513984,1
OIA-ODIR-TRAIN-271,OIA-ODIR-TRAIN,0,0.8564091,1
G1020-129,G1020,1,0.4984361,0
EyePACS-Glaucoma-3038,EyePACS-Glaucoma,1,0.10779504,0
OIA-ODIR-TRAIN-2354,OIA-ODIR-TRAIN,0,0.75515485,1
ORIGA-72,ORIGA,1,0.057257287,0
EyePACS-Glaucoma-752,EyePACS-Glaucoma,1,0.39875057,0
OIA-ODIR-TRAIN-2356,OIA-ODIR-TRAIN,0,0.98300743,1
HRF-3,HRF,1,0.60452443,0
G1020-232,G1020,1,0.52962625,0
DRISHTI-GS1-train-14,DRISHTI-GS1-train,1,0.6543988,0
FIVES-113,FIVES,1,0.60579365,0
ORIGA-348,ORIGA,1,0.5320199,0
REFUGE1-val-385,REFUGE1-val,1,0.0002286302,0
sjchoi86-HRF-138,sjchoi86-HRF,0,0.9886626,1
ORIGA-167,ORIGA,0,0.80498284,1
FIVES-319,FIVES,0,0.7688137,1
REFUGE1-train-378,REFUGE1-train,0,0.985932,1
G1020-311,G1020,1,0.2587834,0
REFUGE1-val-319,REFUGE1-val,1,0.048118487,0
OIA-ODIR-TEST-OFFLINE-87,OIA-ODIR-TEST-OFFLINE,0,0.9471628,1
CRFO-v4-78,CRFO-v4,0,0.888196,1
