name,source,label,prob,pred
EyePACS-Glaucoma-2998,EyePACS-Glaucoma,1,0.99528426,1
EyePACS-Glaucoma-147,EyePACS-Glaucoma,1,0.9999715,1
OIA-ODIR-TEST-ONLINE-925,OIA-ODIR-TEST-ONLINE,0,0.0029594186,0
OIA-ODIR-TRAIN-2092,OIA-ODIR-TRAIN,0,0.38905054,0
OIA-ODIR-TRAIN-738,OIA-ODIR-TRAIN,0,0.9983568,1
BEH-491,BEH,0,0.015289888,0
EyePACS-Glaucoma-1788,EyePACS-Glaucoma,1,0.9999929,1
EyePACS-Glaucoma-292,EyePACS-Glaucoma,1,0.5693431,0
EyePACS-Glaucoma-2773,EyePACS-Glaucoma,1,0.9999906,1
OIA-ODIR-TEST-OFFLINE-347,OIA-ODIR-TEST-OFFLINE,0,0.00011695681,0
OIA-ODIR-TRAIN-2816,OIA-ODIR-TRAIN,0,0.21948925,0
OIA-ODIR-TEST-ONLINE-612,OIA-ODIR-TEST-ONLINE,0,0.003808782,0
G1020-723,G1020,0,0.2888436,0
OIA-ODIR-TRAIN-613,OIA-ODIR-TRAIN,1,0.024229987,0
REFUGE1-train-132,REFUGE1-train,0,0.0007277456,0
FIVES-47,FIVES,1,0.52666175,0
EyePACS-Glaucoma-2725,EyePACS-Glaucoma,1,0.99997693,1
OIA-ODIR-TRAIN-912,OIA-ODIR-TRAIN,0,0.00271462,0
EyePACS-Glaucoma-1821,EyePACS-Glaucoma,1,0.9981996,1
G1020-553,G1020,1,0.38099945,0
PAPILA-306,PAPILA,1,0.9751846,1
OIA-ODIR-TRAIN-210,OIA-ODIR-TRAIN,0,0.0030195883,0
G1020-709,G1020,0,0.34723172,0
EyePACS-Glaucoma-995,EyePACS-Glaucoma,1,0.9778085,1
OIA-ODIR-TRAIN-2390,OIA-ODIR-TRAIN,0,0.02059379,0
EyePACS-Glaucoma-1500,EyePACS-Glaucoma,1,0.9798861,1
OIA-ODIR-TRAIN-699,OIA-ODIR-TRAIN,1,0.05492786,0
OIA-ODIR-TRAIN-2600,OIA-ODIR-TRAIN,0,0.022601148,0
OIA-ODIR-TRAIN-1496,OIA-ODIR-TRAIN,0,0.0010745866,0
OIA-ODIR-TRAIN-2319,OIA-ODIR-TRAIN,0,0.00012770781,0
EyePACS-Glaucoma-1927,EyePACS-Glaucoma,1,0.9812443,1
G1020-938,G1020,0,0.4096216,0
sjchoi86-HRF-338,sjchoi86-HRF,1,0.9948113,1
EyePACS-Glaucoma-641,EyePACS-Glaucoma,1,0.9792643,1
BEH-274,BEH,0,0.08070301,0
DRISHTI-GS1-test-14,DRISHTI-GS1-test,1,0.99019253,1
REFUGE1-val-225,REFUGE1-val,0,0.00165538,0
sjchoi86-HRF-98,sjchoi86-HRF,0,0.012686048,0
G1020-285,G1020,0,0.4470053,0
OIA-ODIR-TRAIN-1818,OIA-ODIR-TRAIN,0,0.05381719,0
G1020-39,G1020,1,0.40570873,0
OIA-ODIR-TEST-OFFLINE-128,OIA-ODIR-TEST-OFFLINE,0,0.00045160908,0
BEH-478,BEH,0,0.4047488,0
BEH-192,BEH,0,0.53088206,0
FIVES-348,FIVES,0,0.90700966,1
EyePACS-Glaucoma-3224,EyePACS-Glaucoma,1,0.999877,1
OIA-ODIR-TRAIN-554,OIA-ODIR-TRAIN,1,0.23300311,0
sjchoi86-HRF-30,sjchoi86-HRF,0,0.093096465,0
OIA-ODIR-TRAIN-1985,OIA-ODIR-TRAIN,0,0.120267674,0
EyePACS-Glaucoma-2149,EyePACS-Glaucoma,1,0.99984944,1
OIA-ODIR-TRAIN-2838,OIA-ODIR-TRAIN,0,0.0010601509,0
OIA-ODIR-TRAIN-1909,OIA-ODIR-TRAIN,0,3.265874e-05,0
EyePACS-Glaucoma-1956,EyePACS-Glaucoma,1,0.9999701,1
OIA-ODIR-TRAIN-675,OIA-ODIR-TRAIN,1,0.042788513,0
JSIEC-1000-33,JSIEC-1000,0,0.08589204,0
sjchoi86-HRF-195,sjchoi86-HRF,0,0.21799482,0
PAPILA-355,PAPILA,0,0.0069152536,0
EyePACS-Glaucoma-229,EyePACS-Glaucoma,1,0.99899995,1
OIA-ODIR-TRAIN-113,OIA-ODIR-TRAIN,0,0.0035119192,0
OIA-ODIR-TRAIN-2222,OIA-ODIR-TRAIN,0,0.0019480458,0
EyePACS-Glaucoma-1324,EyePACS-Glaucoma,1,0.9994542,1
G1020-789,G1020,1,0.76843125,1
EyePACS-Glaucoma-653,EyePACS-Glaucoma,1,0.999996,1
ORIGA-522,ORIGA,0,0.09113221,0
ORIGA-627,ORIGA,1,0.36267155,0
OIA-ODIR-TEST-ONLINE-561,OIA-ODIR-TEST-ONLINE,0,0.011061219,0
EyePACS-Glaucoma-884,EyePACS-Glaucoma,1,0.99487495,1
OIA-ODIR-TEST-ONLINE-887,OIA-ODIR-TEST-ONLINE,0,0.8542174,1
EyePACS-Glaucoma-725,EyePACS-Glaucoma,1,0.99669003,1
BEH-222,BEH,0,0.16659614,0
OIA-ODIR-TRAIN-2137,OIA-ODIR-TRAIN,0,0.9660654,1
OIA-ODIR-TEST-ONLINE-453,OIA-ODIR-TEST-ONLINE,0,0.009041063,0
OIA-ODIR-TEST-ONLINE-281,OIA-ODIR-TEST-ONLINE,0,0.08365576,0
EyePACS-Glaucoma-2823,EyePACS-Glaucoma,1,0.99930644,1
OIA-ODIR-TEST-ONLINE-149,OIA-ODIR-TEST-ONLINE,1,0.74144435,1
PAPILA-174,PAPILA,0,0.0023741436,0
EyePACS-Glaucoma-2080,EyePACS-Glaucoma,1,0.99977046,1
OIA-ODIR-TEST-ONLINE-271,OIA-ODIR-TEST-ONLINE,0,0.0025362014,0
OIA-ODIR-TEST-OFFLINE-235,OIA-ODIR-TEST-OFFLINE,0,0.0045732874,0
EyePACS-Glaucoma-605,EyePACS-Glaucoma,1,0.99992174,1
OIA-ODIR-TEST-OFFLINE-193,OIA-ODIR-TEST-OFFLINE,0,0.0005690516,0
EyePACS-Glaucoma-2650,EyePACS-Glaucoma,1,0.9997687,1
EyePACS-Glaucoma-415,EyePACS-Glaucoma,1,0.99819624,1
EyePACS-Glaucoma-3000,EyePACS-Glaucoma,1,0.9797308,1
OIA-ODIR-TRAIN-2145,OIA-ODIR-TRAIN,0,0.1047177,0
G1020-283,G1020,1,0.47208288,0
EyePACS-Glaucoma-3035,EyePACS-Glaucoma,1,0.98647463,1
PAPILA-319,PAPILA,1,0.11104872,0
