name,dice_disc,dice_cup,iou_disc,iou_cup,pred_vcdr,gt_vcdr,pred_hcdr,gt_hcdr,pred_acdr,gt_acdr,disc_detected,cup_detected,overall_dice,abs_vcdr_error,source
PAPILA-415,0.931566982825652,0.8658536584988741,0.8719002200899207,0.7634408601564177,0.4362,0.5,0.3913,0.3605,0.1718,0.1893,True,True,0.8987103206622631,0.06380000000000002,PAPILA
REFUGE1-val-220,0.9799203891996469,0.7648275861805233,0.9606312868373114,0.6192071468107645,0.5208,0.4211,0.6133,0.4868,0.3222,0.193,True,True,0.8723739876900851,0.09970000000000007,REFUGE1-val
REFUGE1-val-142,0.9466095496714385,0.8066914497766408,0.8986312239456729,0.676012461006541,0.4138,0.5,0.5075,0.4648,0.2133,0.2352,True,True,0.8766504997240396,0.0862,REFUGE1-val
ORIGA-229,0.9730745147074743,0.8933213228555743,0.9475609755953116,0.8072093023068091,0.7292,0.7732,0.7326,0.8795,0.5362,0.6822,True,True,0.9331979187815242,0.04400000000000004,ORIGA
PAPILA-133,0.9615166491050674,0.8998793726296889,0.9258854735383697,0.8179824559609687,0.2396,0.2418,0.2651,0.2759,0.0638,0.0706,True,True,0.9306980108673781,0.0021999999999999797,PAPILA
G1020-246,0.947354175112365,0.9283950616519839,0.8999742864258171,0.866359446871527,0.4028,0.4328,0.3971,0.403,0.1607,0.1684,True,True,0.9378746183821745,0.030000000000000027,G1020
ORIGA-133,0.9690539345589358,0.9550387596529055,0.9399656946596431,0.9139465874692917,0.5342,0.5417,0.5857,0.6377,0.3149,0.3373,True,True,0.9620463471059206,0.007499999999999951,ORIGA
ORIGA-450,0.9789400601599288,0.922483609682897,0.9587488667053774,0.8561202576337781,0.5467,0.5,0.5946,0.5541,0.3219,0.278,True,True,0.950711834921413,0.046699999999999964,ORIGA
CRFO-v4-67,0.9771189171690531,0.9449640287599826,0.9552614996698919,0.8956699624652005,0.6593,0.6154,0.7011,0.6484,0.4614,0.4347,True,True,0.9610414729645178,0.04390000000000005,CRFO-v4
PAPILA-152,0.9555600512444833,0.7546012269359967,0.914901859492318,0.6059113299746415,0.2745,0.2778,0.2826,0.3556,0.0772,0.0984,True,True,0.85508063909024,0.0032999999999999696,PAPILA
REFUGE1-train-360,0.9572665841728631,0.9185185184807194,0.9180357794648041,0.8493150684285148,0.4651,0.4667,0.5067,0.5,0.2327,0.23,True,True,0.9378925513267913,0.0015999999999999903,REFUGE1-train
REFUGE1-train-16,0.9643044619296023,0.9350515463676533,0.9310694373813718,0.8780251693669882,0.75,0.7123,0.7273,0.6765,0.5469,0.4726,True,True,0.9496780041486278,0.037699999999999956,REFUGE1-train
G1020-871,0.9656658139091737,0.871122760992961,0.9336110387676748,0.77167182656566,0.5507,0.5455,0.5797,0.5652,0.3191,0.2972,True,True,0.9183942874510673,0.005199999999999982,G1020
PAPILA-40,0.9698984741378026,0.816047328511443,0.9415561959545641,0.6892567145318783,0.614,0.5221,0.617,0.5208,0.3809,0.2616,True,True,0.8929729013246228,0.09189999999999998,PAPILA
G1020-297,0.9620951068118297,0.9147982062324465,0.9269588313207845,0.842975206534162,0.4217,0.5128,0.5143,0.5,0.2199,0.242,True,True,0.9384466565221381,0.09110000000000001,G1020
G1020-79,0.9654292343275471,0.7616553168799551,0.9331688719234544,0.6150592216061709,0.4474,0.5,0.4789,0.4714,0.2153,0.2274,True,True,0.8635422756037512,0.05259999999999998,G1020
REFUGE1-train-378,0.9582380347229289,0.7789142407348829,0.9198243616698679,0.6378865979107438,0.6071,0.4337,0.6591,0.5652,0.402,0.248,True,True,0.8685761377289059,0.1734,REFUGE1-train
